 "GAGE No.    1:  K,I,J Coord. =     1,   61,   10;  STREAM SEGMENT =    30;  REACH =    29 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     1.2151000E+04   8.0592029E+02   8.1631056E+05   4.1325232E-01   2.5000000E+01   8.1614638E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.7930873E-01  -1.7930873E-01
     1.2152000E+04   8.0591125E+02   7.8644950E+05   4.0421635E-01   2.5000000E+01   7.8628656E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.7794028E-01  -1.7794028E-01
     1.2153000E+04   8.0590039E+02   7.5171338E+05   3.9335671E-01   2.5000000E+01   7.5155056E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.7781855E-01  -1.7781855E-01
     1.2154000E+04   8.0590186E+02   7.5749794E+05   3.9485249E-01   2.5000000E+01   7.5733994E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.7260419E-01  -1.7260419E-01
     1.2155000E+04   8.0591541E+02   8.0261681E+05   4.0837726E-01   2.5000000E+01   8.0246488E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.6593789E-01  -1.6593789E-01
     1.2156000E+04   8.0591644E+02   8.0126994E+05   4.0942064E-01   2.5000000E+01   8.0111625E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.6785811E-01  -1.6785811E-01
     1.2157000E+04   8.0590674E+02   7.7199000E+05   3.9969239E-01   2.5000000E+01   7.7183194E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.7264125E-01  -1.7264125E-01
     1.2158000E+04   8.0605072E+02   1.2899589E+06   5.4370004E-01   2.5000000E+01   1.2898526E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.1595382E-01  -1.1595382E-01
     1.2159000E+04   8.0633972E+02   2.6249025E+06   8.3268303E-01   2.5000000E+01   2.6248660E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -3.9913293E-02  -3.9913293E-02
     1.2160000E+04   8.0619043E+02   1.8852948E+06   6.8342519E-01   2.5000000E+01   1.8851309E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.7888454E-01  -1.7888454E-01
     1.2161000E+04   8.0612085E+02   1.5745010E+06   6.1383432E-01   2.5000000E+01   1.5743116E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.0684227E-01  -2.0684227E-01
     1.2162000E+04   8.0613367E+02   1.6342891E+06   6.2661791E-01   2.5000000E+01   1.6341150E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.9008783E-01  -1.9008783E-01
     1.2163000E+04   8.0612817E+02   1.6083408E+06   6.2114394E-01   2.5000000E+01   1.6081650E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.9202024E-01  -1.9202024E-01
     1.2164000E+04   8.0610779E+02   1.5231910E+06   6.0074592E-01   2.5000000E+01   1.5230084E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.9945505E-01  -1.9945505E-01
     1.2165000E+04   8.0615790E+02   1.7429709E+06   6.5088660E-01   2.5000000E+01   1.7428094E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.7648098E-01  -1.7648098E-01
     1.2166000E+04   8.0631561E+02   2.4993568E+06   8.0857474E-01   2.5000000E+01   2.4992408E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.2688981E-01  -1.2688981E-01
     1.2167000E+04   8.0639764E+02   2.9361578E+06   8.9061862E-01   2.5000000E+01   2.9360312E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.3795677E-01  -1.3795677E-01
     1.2168000E+04   8.0643921E+02   3.1682082E+06   9.3220532E-01   2.5000000E+01   3.1680612E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.6054013E-01  -1.6054013E-01
     1.2169000E+04   8.0636530E+02   2.7608298E+06   8.5830295E-01   2.5000000E+01   2.7606310E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.1692461E-01  -2.1692461E-01
     1.2170000E+04   8.0631915E+02   2.5179452E+06   8.1215954E-01   2.5000000E+01   2.5177328E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.3224309E-01  -2.3224309E-01
     1.2171000E+04   8.0627380E+02   2.2877855E+06   7.6676041E-01   2.5000000E+01   2.2875652E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.4035807E-01  -2.4035807E-01
     1.2172000E+04   8.0649231E+02   3.4765365E+06   9.8528844E-01   2.5000000E+01   3.4764038E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.4501207E-01  -1.4501207E-01
     1.2173000E+04   8.0683051E+02   5.6827410E+06   1.3234884E+00   2.5000000E+01   5.6826800E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -6.6989921E-02  -6.6989921E-02
     1.2174000E+04   8.0675269E+02   5.1332680E+06   1.2456510E+00   2.5000000E+01   5.1330875E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -1.9727077E-01  -1.9727077E-01
     1.2175000E+04   8.0666760E+02   4.5649205E+06   1.1605983E+00   2.5000000E+01   4.5646875E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.5479624E-01  -2.5479624E-01
     1.2176000E+04   8.0658948E+02   4.0614762E+06   1.0824506E+00   2.5000000E+01   4.0612205E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.7928272E-01  -2.7928272E-01
     1.2177000E+04   8.0668896E+02   4.7058155E+06   1.1819662E+00   2.5000000E+01   4.7056130E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.2130066E-01  -2.2130066E-01
     1.2178000E+04   8.0659705E+02   4.1121582E+06   1.0900441E+00   2.5000000E+01   4.1119088E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.7230644E-01  -2.7230644E-01
     1.2179000E+04   8.0644537E+02   3.2016568E+06   9.3833488E-01   2.5000000E+01   3.2013678E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -3.1543964E-01  -3.1543964E-01
     1.2180000E+04   8.0637183E+02   2.7913652E+06   8.6479026E-01   2.5000000E+01   2.7910868E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -3.0416393E-01  -3.0416393E-01
     1.2181000E+04   8.0637610E+02   2.8187835E+06   8.6905938E-01   2.5000000E+01   2.8185360E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.7016428E-01  -2.7016428E-01
     1.2182000E+04   8.0641876E+02   3.0549552E+06   9.1175270E-01   2.5000000E+01   3.0547355E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.3984218E-01  -2.3984218E-01
     1.2183000E+04   8.0640826E+02   2.9975725E+06   9.0127277E-01   2.5000000E+01   2.9973480E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   1.8312057E+03  -2.4499492E-01  -2.4499492E-01
