Location	ID	n	X	Y	Zland	Depth	Fine	Mixed_Fine	Sand	Mixed_Coarse	Very_Coarse
16381	23	6	512668.88300	4604557.28015	828.72072	19.81200	0.00000	0.00000	1.00000	0.00000	0.00000
16381	23	7	512668.88300	4604557.28015	828.72072	21.33600	0.00000	1.00000	0.00000	0.00000	0.00000
16381	23	8	512668.88300	4604557.28015	828.72072	23.16480	0.00000	0.00000	0.00000	1.00000	0.00000
16382	24	1	501320.49527	4607767.37739	845.29270	3.04800	0.00000	1.00000	0.00000	0.00000	0.00000
16382	24	2	501320.49527	4607767.37739	845.29270	9.14400	0.00000	0.00000	0.00000	0.00000	1.00000
16382	24	3	501320.49527	4607767.37739	845.29270	27.43200	0.00000	0.00000	0.00000	0.00000	1.00000
16387	25	1	511043.13160	4588249.26200	855.32366	3.65760	0.00000	1.00000	0.00000	0.00000	0.00000
16387	25	2	511043.13160	4588249.26200	855.32366	5.48640	0.00000	0.00000	0.00000	1.00000	0.00000
16387	25	3	511043.13160	4588249.26200	855.32366	12.49680	0.00000	0.00000	0.00000	1.00000	0.00000
16387	25	4	511043.13160	4588249.26200	855.32366	14.63040	0.00000	0.00000	1.00000	0.00000	0.00000
16387	25	5	511043.13160	4588249.26200	855.32366	18.59280	0.00000	1.00000	0.00000	0.00000	0.00000
16390	26	1	507850.19880	4588205.48021	942.48732	15.54480	0.00000	1.00000	0.00000	0.00000	0.00000
16390	26	2	507850.19880	4588205.48021	942.48732	19.81200	0.00000	0.00000	0.00000	0.00000	1.00000
16393	27	1	514275.54451	4583456.07665	871.92612	4.57200	0.00000	0.00000	0.00000	0.00000	1.00000
16393	27	2	514275.54451	4583456.07665	871.92612	6.09600	0.00000	1.00000	0.00000	0.00000	0.00000
16393	27	3	514275.54451	4583456.07665	871.92612	15.84960	0.00000	0.00000	0.00000	1.00000	0.00000
16398	28	1	507795.08803	4601327.98590	995.66273	6.09600	0.00000	1.00000	0.00000	0.00000	0.00000
16398	28	2	507795.08803	4601327.98590	995.66273	10.66800	0.00000	0.00000	0.00000	1.00000	0.00000
