Location	ID	n	X	Y	Zland	Depth	Fine	Mixed_Fine	Sand	Mixed_Coarse	Very_Coarse
               16347    16     4   506104.330410  4609457.677510  822.5546   18.2880  0.00000      1.00000      0.00000      0.00000      0.00000    
               16347    16     5   506104.330410  4609457.677510  822.5546   21.3360  0.00000      0.00000      0.00000      1.00000      0.00000    
               16347    16     6   506104.330410  4609457.677510  822.5546   24.3840  0.00000      0.00000      0.00000      1.00000      0.00000    
               16347    16     7   506104.330410  4609457.677510  822.5546   27.4320  0.00000      0.00000      0.00000      1.00000      0.00000    
               16347    16     8   506104.330410  4609457.677510  822.5546   32.9184  0.00000      0.00000      0.00000      1.00000      0.00000    
               16347    16     9   506104.330410  4609457.677510  822.5546   37.4904  0.00000      0.00000      0.00000      1.00000      0.00000    
               16351    17     1   507765.583850  4587471.495800  940.9847    1.5240  0.00000      1.00000      0.00000      0.00000      0.00000    
               16351    17     2   507765.583850  4587471.495800  940.9847    7.6200  0.00000      0.00000      0.00000      1.00000      0.00000    
               16351    17     3   507765.583850  4587471.495800  940.9847   10.6680  0.00000      0.00000      0.00000      1.00000      0.00000    
               16351    17     4   507765.583850  4587471.495800  940.9847   15.2400  0.00000      0.00000      0.00000      1.00000      0.00000    
               16351    17     5   507765.583850  4587471.495800  940.9847   19.8120  1.00000      0.00000      0.00000      0.00000      0.00000    
               16351    17     6   507765.583850  4587471.495800  940.9847   36.5760  1.00000      0.00000      0.00000      0.00000      0.00000    
               16356    18     1   507796.852410  4599696.728700  857.8535   15.8496  0.00000      1.00000      0.00000      0.00000      0.00000    
               16356    18     2   507796.852410  4599696.728700  857.8535   21.6408  0.00000      0.00000      0.00000      1.00000      0.00000    
               16356    18     3   507796.852410  4599696.728700  857.8535   25.9080  0.00000      0.00000      0.00000      1.00000      0.00000    
               16356    18     4   507796.852410  4599696.728700  857.8535   32.0040  0.00000      0.00000      0.00000      1.00000      0.00000    
               16358    19     1   501320.495270  4607767.377390  845.2927    0.9144  0.00000      1.00000      0.00000      0.00000      0.00000    
               16358    19     2   501320.495270  4607767.377390  845.2927    7.0104  0.00000      1.00000      0.00000      0.00000      0.00000    
               16358    19     3   501320.495270  4607767.377390  845.2927   22.8600  0.00000      0.00000      0.00000      1.00000      0.00000    
               16358    19     4   501320.495270  4607767.377390  845.2927   25.9080  0.00000      0.00000      0.00000      1.00000      0.00000    
               16358    19     5   501320.495270  4607767.377390  845.2927   30.4800  0.00000      1.00000      0.00000      0.00000      0.00000    
               16358    19     6   501320.495270  4607767.377390  845.2927   36.5760  0.00000      0.00000      0.00000      1.00000      0.00000    
               16358    19     7   501320.495270  4607767.377390  845.2927   41.7576  0.00000      0.00000      0.00000      1.00000      0.00000    
               16362    20     1   509466.007490  4589882.736800  877.5009    4.5720  0.00000      0.00000      0.00000      0.00000      1.00000    
               16362    20     2   509466.007490  4589882.736800  877.5009   10.6680  0.00000      0.00000      0.00000      0.00000      1.00000    
               16362    20     3   509466.007490  4589882.736800  877.5009   24.3840  0.00000      0.00000      0.00000      0.00000      1.00000    
               16362    20     4   509466.007490  4589882.736800  877.5009   30.4800  0.00000      1.00000      0.00000      0.00000      0.00000    
               16363    21     1   511019.304550  4586644.780050  862.2944    0.9144  0.00000      1.00000      0.00000      0.00000      0.00000    
               16363    21     2   511019.304550  4586644.780050  862.2944    4.5720  0.00000      1.00000      0.00000      0.00000      0.00000    
               16363    21     3   511019.304550  4586644.780050  862.2944   15.2400  0.00000      0.00000      0.00000      1.00000      0.00000    
               16363    21     4   511019.304550  4586644.780050  862.2944   30.4800  1.00000      0.00000      0.00000      0.00000      0.00000    
               16367    22     1   506190.848400  4596422.725130  927.2290    3.0480  0.00000      0.00000      0.00000      1.00000      0.00000    
